campaignID,term,termWildcard
0,high_speed slow cooker,%high_speed%slow%cooker%
0,compact camera filter,%compact%camera%filter%
0,gaming game controller,%gaming%game%controller%
0,ultra wireless router,%ultra%wireless%router%
0,energy_saving espresso machine,%energy_saving%espresso%machine%
1,noise_cancelling gaming console,%noise_cancelling%gaming%console%
1,ceiling lamp,%ceiling%lamp%
1,black camera bag,%black%camera%bag%
1,eco LED TV,%eco%LED%TV%
1,professional wireless headphones,%professional%wireless%headphones%
1,energy_saving mini fridge,%energy_saving%mini%fridge%
1,4K thermostat,%4K%thermostat%
1,eco food processor,%eco%food%processor%
1,USB_C food processor,%USB_C%food%processor%
1,USB_C juicer,%USB_C%juicer%
1,touch_screen soundbar,%touch_screen%soundbar%
1,noise_cancelling microwave oven,%noise_cancelling%microwave%oven%
1,black camera filter,%black%camera%filter%
1,USB_C desktop PC,%USB_C%desktop%PC%
2,gaming wireless headphones,%gaming%wireless%headphones%
2,energy_saving external hard drive,%energy_saving%external%hard%drive%
2,compact SSD,%compact%SSD%
2,black smart TV,%black%smart%TV%
2,touch_screen digital camera,%touch_screen%digital%camera%
2,high_speed LED TV,%high_speed%LED%TV%
3,slow cooker,%slow%cooker%
3,high_speed fan,%high_speed%fan%
3,eco LED TV,%eco%LED%TV%
3,coffee maker,%coffee%maker%
3,black smoke detector,%black%smoke%detector%
3,4K game controller,%4K%game%controller%
3,energy_saving food processor,%energy_saving%food%processor%
4,compact security camera,%compact%security%camera%
4,compact vacuum cleaner,%compact%vacuum%cleaner%
4,professional humidifier,%professional%humidifier%
4,all_in_one tablet,%all_in_one%tablet%
4,compact handheld vacuum,%compact%handheld%vacuum%
4,compact fan,%compact%fan%
4,ultra action camera,%ultra%action%camera%
4,bluetooth subwoofer,%bluetooth%subwoofer%
4,advanced vacuum cleaner,%advanced%vacuum%cleaner%
4,eco tripod,%eco%tripod%
4,LED refrigerator,%LED%refrigerator%
5,advanced LED lamp,%advanced%LED%lamp%
5,high_speed slow cooker,%high_speed%slow%cooker%
5,advanced mirrorless camera,%advanced%mirrorless%camera%
5,touch_screen external hard drive,%touch_screen%external%hard%drive%
5,portable charger,%portable%charger%
5,4K SSD,%4K%SSD%
5,LED printer,%LED%printer%
5,touch_screen food processor,%touch_screen%food%processor%
5,advanced dishwasher,%advanced%dishwasher%
5,noise_cancelling dishwasher,%noise_cancelling%dishwasher%
6,slow cooker,%slow%cooker%
6,professional camera bag,%professional%camera%bag%
6,high_speed rice cooker,%high_speed%rice%cooker%
6,touch_screen printer,%touch_screen%printer%
6,USB_C convection oven,%USB_C%convection%oven%
6,advanced smoke detector,%advanced%smoke%detector%
6,eco smart TV,%eco%smart%TV%
6,gaming juicer,%gaming%juicer%
6,high_speed portable charger,%high_speed%portable%charger%
6,professional washing machine,%professional%washing%machine%
6,bluetooth power bank,%bluetooth%power%bank%
6,black ice maker,%black%ice%maker%
6,professional bluetooth speaker,%professional%bluetooth%speaker%
6,4K portable heater,%4K%portable%heater%
7,bluetooth smart lock,%bluetooth%smart%lock%
7,compact OLED TV,%compact%OLED%TV%
7,USB_C gaming console,%USB_C%gaming%console%
7,eco smart TV,%eco%smart%TV%
7,ultra studio headphones,%ultra%studio%headphones%
7,energy_saving scanner,%energy_saving%scanner%
7,all_in_one projector,%all_in_one%projector%
7,high_speed humidifier,%high_speed%humidifier%
7,eco portable heater,%eco%portable%heater%
8,professional smart home hub,%professional%smart%home%hub%
8,bluetooth humidifier,%bluetooth%humidifier%
8,pro humidifier,%pro%humidifier%
8,USB_C electric grill,%USB_C%electric%grill%
8,ultra studio headphones,%ultra%studio%headphones%
8,USB_C smart earbuds,%USB_C%smart%earbuds%
8,advanced webcam,%advanced%webcam%
8,high_speed electric skillet,%high_speed%electric%skillet%
9,compact smart light bulb,%compact%smart%light%bulb%
9,bluetooth mechanical keyboard,%bluetooth%mechanical%keyboard%
9,USB_C camera filter,%USB_C%camera%filter%
9,advanced microphone,%advanced%microphone%
9,high_speed camera bag,%high_speed%camera%bag%
9,noise_cancelling scanner,%noise_cancelling%scanner%
9,eco soundbar,%eco%soundbar%
9,eco external hard drive,%eco%external%hard%drive%
9,all_in_one desk lamp,%all_in_one%desk%lamp%
9,touch_screen convection oven,%touch_screen%convection%oven%
10,ultra laptop,%ultra%laptop%
10,pro microwave oven,%pro%microwave%oven%
10,touch_screen floor lamp,%touch_screen%floor%lamp%
10,bluetooth LED lamp,%bluetooth%LED%lamp%
10,professional electric kettle,%professional%electric%kettle%
11,bluetooth fitness tracker,%bluetooth%fitness%tracker%
11,eco mechanical keyboard,%eco%mechanical%keyboard%
11,all_in_one toaster,%all_in_one%toaster%
11,professional vacuum cleaner,%professional%vacuum%cleaner%
11,ultra smartwatch,%ultra%smartwatch%
11,noise_cancelling printer,%noise_cancelling%printer%
11,energy_saving air fryer,%energy_saving%air%fryer%
11,compact webcam,%compact%webcam%
11,professional webcam,%professional%webcam%
11,touch_screen smoke detector,%touch_screen%smoke%detector%
11,pro slow cooker,%pro%slow%cooker%
11,all_in_one water purifier,%all_in_one%water%purifier%
12,advanced external hard drive,%advanced%external%hard%drive%
12,touch_screen subwoofer,%touch_screen%subwoofer%
12,noise_cancelling LED lamp,%noise_cancelling%LED%lamp%
12,bluetooth subwoofer,%bluetooth%subwoofer%
12,high_speed soundbar,%high_speed%soundbar%
12,4K smart home hub,%4K%smart%home%hub%
13,USB_C gaming headset,%USB_C%gaming%headset%
13,LED external hard drive,%LED%external%hard%drive%
13,high_speed external hard drive,%high_speed%external%hard%drive%
13,pro microwave oven,%pro%microwave%oven%
13,advanced camera filter,%advanced%camera%filter%
13,ultra smart lock,%ultra%smart%lock%
13,eco flash drive,%eco%flash%drive%
13,4K digital camera,%4K%digital%camera%
13,all_in_one power bank,%all_in_one%power%bank%
13,noise_cancelling printer,%noise_cancelling%printer%
13,noise_cancelling flash drive,%noise_cancelling%flash%drive%
14,eco air purifier,%eco%air%purifier%
14,eco camera lens,%eco%camera%lens%
14,sound system,%sound%system%
14,4K ceiling lamp,%4K%ceiling%lamp%
14,gaming refrigerator,%gaming%refrigerator%
14,USB_C portable heater,%USB_C%portable%heater%
15,slow cooker,%slow%cooker%
15,noise_cancelling microwave oven,%noise_cancelling%microwave%oven%
15,black dehumidifier,%black%dehumidifier%
15,noise_cancelling dishwasher,%noise_cancelling%dishwasher%
15,high_speed electric kettle,%high_speed%electric%kettle%
16,4K floor lamp,%4K%floor%lamp%
16,LED electric kettle,%LED%electric%kettle%
16,LED soundbar,%LED%soundbar%
16,USB_C convection oven,%USB_C%convection%oven%
16,advanced external hard drive,%advanced%external%hard%drive%
16,4K humidifier,%4K%humidifier%
16,all_in_one tablet,%all_in_one%tablet%
16,smart_home washing machine,%smart_home%washing%machine%
16,professional water purifier,%professional%water%purifier%
16,professional thermostat,%professional%thermostat%
16,compact game controller,%compact%game%controller%
16,touch_screen floor lamp,%touch_screen%floor%lamp%
16,pro camcorder,%pro%camcorder%
16,eco SSD,%eco%SSD%
16,4K juicer,%4K%juicer%
17,gaming LED lamp,%gaming%LED%lamp%
17,4K QLED TV,%4K%QLED%TV%
17,gaming electric grill,%gaming%electric%grill%
17,ultra convection oven,%ultra%convection%oven%
17,pro tripod,%pro%tripod%
17,4K ice maker,%4K%ice%maker%
17,electric grill,%electric%grill%
17,professional portable charger,%professional%portable%charger%
18,all_in_one convection oven,%all_in_one%convection%oven%
18,high_speed gaming console,%high_speed%gaming%console%
18,LED microwave oven,%LED%microwave%oven%
18,gaming mouse,%gaming%mouse%
18,pro convection oven,%pro%convection%oven%
18,pro camcorder,%pro%camcorder%
18,smart_home 4K TV,%smart_home%4K%TV%
18,4K toaster,%4K%toaster%
18,pro scanner,%pro%scanner%
19,bluetooth food processor,%bluetooth%food%processor%
19,eco mechanical keyboard,%eco%mechanical%keyboard%
19,4K video doorbell,%4K%video%doorbell%
19,ultra tripod,%ultra%tripod%
19,pro portable charger,%pro%portable%charger%
19,USB_C portable heater,%USB_C%portable%heater%
19,eco laptop,%eco%laptop%
19,professional thermostat,%professional%thermostat%
19,compact laptop,%compact%laptop%
19,compact webcam,%compact%webcam%
19,compact game controller,%compact%game%controller%
19,pro slow cooker,%pro%slow%cooker%
19,smart_home toaster oven,%smart_home%toaster%oven%
19,noise_cancelling printer,%noise_cancelling%printer%
19,4K portable heater,%4K%portable%heater%
20,high_speed desk lamp,%high_speed%desk%lamp%
20,LED dryer,%LED%dryer%
20,bluetooth humidifier,%bluetooth%humidifier%
20,tripod,%tripod%
20,pro portable charger,%pro%portable%charger%
20,advanced wireless headphones,%advanced%wireless%headphones%
20,black external hard drive,%black%external%hard%drive%
20,touch_screen flash drive,%touch_screen%flash%drive%
20,pro convection oven,%pro%convection%oven%
20,energy_saving flash drive,%energy_saving%flash%drive%
20,bluetooth webcam,%bluetooth%webcam%
20,eco portable heater,%eco%portable%heater%
21,energy_saving LED TV,%energy_saving%LED%TV%
21,USB_C gaming console,%USB_C%gaming%console%
21,LED TV,%LED%TV%
21,4K ceiling lamp,%4K%ceiling%lamp%
21,all_in_one mirrorless camera,%all_in_one%mirrorless%camera%
21,high_speed portable charger,%high_speed%portable%charger%
21,advanced electric grill,%advanced%electric%grill%
21,eco digital camera,%eco%digital%camera%
21,touch_screen gaming console,%touch_screen%gaming%console%
21,eco soundbar,%eco%soundbar%
21,LED portable charger,%LED%portable%charger%
22,bluetooth mechanical keyboard,%bluetooth%mechanical%keyboard%
22,advanced dryer,%advanced%dryer%
22,professional flash drive,%professional%flash%drive%
22,high_speed gaming console,%high_speed%gaming%console%
22,professional slow cooker,%professional%slow%cooker%
22,high_speed desktop PC,%high_speed%desktop%PC%
22,smart_home toaster,%smart_home%toaster%
22,energy_saving air fryer,%energy_saving%air%fryer%
22,eco induction cooktop,%eco%induction%cooktop%
22,noise_cancelling smart home hub,%noise_cancelling%smart%home%hub%
22,4K ice maker,%4K%ice%maker%
22,water purifier,%water%purifier%
22,LED refrigerator,%LED%refrigerator%
23,energy_saving video doorbell,%energy_saving%video%doorbell%
23,gaming power bank,%gaming%power%bank%
23,advanced electric grill,%advanced%electric%grill%
23,compact SSD,%compact%SSD%
23,digital camera,%digital%camera%
23,touch_screen memory card,%touch_screen%memory%card%
23,high_speed gaming headset,%high_speed%gaming%headset%
23,noise_cancelling wireless headphones,%noise_cancelling%wireless%headphones%
23,gaming smoke detector,%gaming%smoke%detector%
23,advanced thermostat,%advanced%thermostat%
23,LED ceiling lamp,%LED%ceiling%lamp%
24,smart_home ceiling fan,%smart_home%ceiling%fan%
24,high_speed external hard drive,%high_speed%external%hard%drive%
24,high_speed espresso machine,%high_speed%espresso%machine%
24,advanced external hard drive,%advanced%external%hard%drive%
24,touch_screen thermostat,%touch_screen%thermostat%
24,humidifier,%humidifier%
24,LED toaster oven,%LED%toaster%oven%
24,advanced SSD,%advanced%SSD%
24,pro SSD,%pro%SSD%
24,bluetooth food processor,%bluetooth%food%processor%
24,professional bluetooth speaker,%professional%bluetooth%speaker%
25,USB_C OLED TV,%USB_C%OLED%TV%
25,noise_cancelling juicer,%noise_cancelling%juicer%
25,touch_screen mini fridge,%touch_screen%mini%fridge%
25,pro QLED TV,%pro%QLED%TV%
25,pro portable charger,%pro%portable%charger%
25,bluetooth speaker,%bluetooth%speaker%
25,professional food processor,%professional%food%processor%
25,USB_C wireless headphones,%USB_C%wireless%headphones%
25,ultra action camera,%ultra%action%camera%
25,bluetooth blender,%bluetooth%blender%
25,compact wireless router,%compact%wireless%router%
25,bluetooth subwoofer,%bluetooth%subwoofer%
25,smoke detector,%smoke%detector%
25,USB_C smart earbuds,%USB_C%smart%earbuds%
25,4K water purifier,%4K%water%purifier%
26,4K floor lamp,%4K%floor%lamp%
26,USB_C subwoofer,%USB_C%subwoofer%
26,advanced video doorbell,%advanced%video%doorbell%
26,LED camera filter,%LED%camera%filter%
26,pro camera lens,%pro%camera%lens%
26,compact refrigerator,%compact%refrigerator%
26,smart_home mirrorless camera,%smart_home%mirrorless%camera%
26,4K blender,%4K%blender%
26,gaming power bank,%gaming%power%bank%
26,professional camera lens,%professional%camera%lens%
26,noise_cancelling SSD,%noise_cancelling%SSD%
26,pro camcorder,%pro%camcorder%
26,4K memory card,%4K%memory%card%
26,all_in_one camera lens,%all_in_one%camera%lens%
26,4K portable heater,%4K%portable%heater%
27,LED mini fridge,%LED%mini%fridge%
27,noise_cancelling electric grill,%noise_cancelling%electric%grill%
27,touch_screen desktop PC,%touch_screen%desktop%PC%
27,touch_screen subwoofer,%touch_screen%subwoofer%
